id,trackable_id,trackable_uid,mac_address,ts,x,y,z,area_uid,project_uid,inactive
3428495,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,04:46.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428496,20,xi0zOAYSTpuf2lMdLe98XQ,E4956EA43AF0,04:46.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428497,18,yRKk9E4KQ_6kJF2xfycIaQ,E4956EA43F48,04:46.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428498,33,2jcjqdYkQN_-eEgRGMSS_w,E4956EA44708,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428499,20,xi0zOAYSTpuf2lMdLe98XQ,E4956EA43AF0,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428500,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428501,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428502,66,s9PC32jdQ3az8otjE0vWaw,E4956EA438A6,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428503,100,2YV04aC9QXGAU4lWau-nVA,E4956EA443FE,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428504,28,fU7aMpE3TaqZxQCJCFXRrA,E4956EA44533,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428505,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428506,27,BTvT_KSaTI2BFv48EqQciA,E4956EA436AB,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428507,31,5y78Y69nRKKJHlH_q6jtxQ,E4956EA438F6,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428508,41,F9J9pJ2_RWaAnX-kQHMQZw,E4956EA43D22,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428509,69,BvV82mScRw2Icg1Op_6frQ,E4956EA44459,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428510,18,yRKk9E4KQ_6kJF2xfycIaQ,E4956EA43F48,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428511,9,GjKBaDk3TnmPWx0mQzvRDg,E4956EA434DF,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428512,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428513,8,HoYH7lgAStqWV1QeUxqu0A,E4956EA43B49,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428514,63,dxuK7BhuRrG-vLd4vBdItw,E4956EA444A8,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428515,89,5x1_FjjrT02nAdaAcW3jLg,E4956EA4359E,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428516,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428517,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428518,90,caakKdhMSoivnRuih63FhQ,E4956EA43E13,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428519,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428520,21,buoFPixCTQeZgHOb8URl0w,E4956EA4424B,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428521,34,fiQpYVs_RYOv_HO45Hv7pw,E4956EA4419E,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428522,17,zNSFBbhNRwmIZzFEjIZJzA,E4956EA4379D,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
3428523,29,CO_3FFSRSe66mmsP83pzOw,E4956EA4456F,04:47.3,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
